brand,total_sales
TITOS HANDMADE VODKA,212098270.41
BLACK VELVET,166959991.75
FIREBALL CINNAMON WHISKEY,113331919.35
CROWN ROYAL,96084628.24
CROWN ROYAL REGAL APPLE,77682902.32
CAPTAIN MORGAN ORIGINAL SPICED,76428215.75
CAPTAIN MORGAN SPICED RUM,73458084.93
JAMESON,70819955.01
HAWKEYE VODKA,70732583.85
JACK DANIELS OLD #7 BLACK LBL,67262714.65
