year,total_sales,growth_percent
2025,308440364.45,-31.03
2024,447235413.62,0.26
2023,446070662.52,4.03
2022,428780003.49,0.15
2021,428123535.4,7.93
2020,396663131.66,13.59
2019,349220341.63,4.49
2018,334216843.07,6.26
2017,314530044.81,5.04
2016,299447564.85,5.32
2015,284328572.11,5.08
2014,270587738.09,4.84
2013,258103792.82,1.14
2012,255203313.57,
