country_name,total_cases,total_deaths,fatality_rate
Peru,10651933,605474,5.68
Egypt,515348,24796,4.81
Afghanistan,571742,24190,4.23
Bosnia and Herzegovina,397602,16104,4.05
Ecuador,1012089,31967,3.16
Myanmar,617739,19441,3.15
Bulgaria,1250250,37663,3.01
Mexico,12986669,373866,2.88
Macedonia,341889,9516,2.78
Paraguay,715806,19530,2.73
